state,year,fatalityrate,beertax,legdrinkage,jail,commserv,vmiles,unemprate,incomecap
1,1982,2.13,1.54,19,no,no,7.23,14.40,10544.15
1,1983,2.35,1.79,19,no,no,7.84,13.70,10732.80
1,1984,2.34,1.71,19,no,no,8.26,11.10,11108.79
1,1985,2.19,1.65,19,no,no,8.73,8.90,11332.63
1,1986,2.67,1.61,21,no,no,8.95,9.80,11661.51
1,1987,2.72,1.56,21,no,no,9.17,7.80,11944.00
1,1988,2.49,1.50,21,no,no,9.67,7.20,12368.62
4,1982,2.50,0.21,19,yes,yes,6.81,9.90,12309.07
4,1983,2.27,0.21,19,yes,yes,6.59,9.10,12693.81
4,1984,2.83,0.30,19,yes,yes,6.71,5.00,13265.93
4,1985,2.80,0.38,21,yes,yes,6.77,6.50,13726.70
4,1986,3.07,0.37,21,yes,yes,8.13,6.90,14107.33
4,1987,2.77,0.36,21,yes,yes,9.37,6.20,14241.00
4,1988,2.71,0.35,21,yes,yes,9.82,6.30,14408.08
5,1982,2.38,0.65,21,no,no,7.21,9.80,10267.30
5,1983,2.40,0.68,21,no,no,7.18,10.10,10433.49
5,1984,2.24,0.60,21,no,no,7.08,8.90,10916.48
5,1985,2.26,0.58,21,no,no,7.25,8.70,11149.36
5,1986,2.54,0.56,21,no,no,7.47,8.70,11399.38
5,1987,2.68,0.55,21,no,no,7.67,8.10,11537.00
5,1988,2.55,0.52,21,no,no,8.02,7.70,11760.35
6,1982,1.86,0.11,21,no,no,6.86,9.90,15797.14
6,1983,1.81,0.10,21,no,no,7.22,9.70,15970.18
6,1984,1.95,0.10,21,no,no,7.62,7.80,16590.11
6,1985,1.88,0.10,21,no,no,7.87,7.20,16985.17
6,1986,1.95,0.09,21,no,no,8.03,6.70,17356.04
6,1987,1.99,0.09,21,no,no,8.18,5.80,17846.00
6,1988,1.90,0.09,21,no,no,8.53,5.30,18049.09
8,1982,2.17,0.21,21,no,yes,7.74,7.70,15082.34
8,1983,2.05,0.21,21,no,yes,7.66,6.60,15131.88
8,1984,1.91,0.20,21,no,yes,7.71,5.60,15486.81
8,1985,1.79,0.19,21,no,yes,8.09,5.90,15569.92
8,1986,1.85,0.19,21,no,yes,8.13,7.40,15616.10
8,1987,1.79,0.18,21,no,yes,8.18,7.70,15605.00
8,1988,1.51,0.17,21,no,yes,8.38,6.40,15845.04
9,1982,1.65,0.22,18,no,no,6.44,6.90,17255.37
9,1983,1.39,0.23,19,no,no,6.57,6.00,17744.27
9,1984,1.49,0.25,20,no,no,6.68,4.60,18760.44
9,1985,1.41,0.24,20,yes,yes,6.98,4.90,19312.50
9,1986,1.41,0.23,21,yes,yes,7.66,3.80,20152.73
9,1987,1.40,0.23,21,yes,yes,8.34,3.30,21192.00
9,1988,1.50,0.22,21,yes,yes,8.06,3.00,22193.46
10,1982,2.03,0.17,20,no,no,7.65,8.50,14263.72
10,1983,1.82,0.17,20,no,no,8.06,8.10,14500.00
10,1984,2.12,0.16,21,no,no,8.37,6.20,14925.27
10,1985,1.67,0.15,21,no,no,8.63,5.30,15408.90
10,1986,2.15,0.15,21,no,no,9.05,4.30,15822.50
10,1987,2.27,0.14,21,no,no,9.45,3.20,16407.00
10,1988,2.42,0.14,21,no,no,9.70,3.20,16998.07
12,1982,2.53,1.07,19,no,yes,7.59,8.20,13502.39
12,1983,2.50,1.17,19,no,yes,7.60,8.60,13924.31
12,1984,2.55,1.19,19,no,yes,7.74,6.30,14307.69
12,1985,2.49,1.14,20,no,yes,7.75,6.00,14760.59
12,1986,2.42,1.11,21,no,yes,7.77,5.70,15102.17
12,1987,2.36,1.08,21,no,yes,7.79,5.30,15584.00
12,1988,2.50,1.04,21,no,yes,8.54,5.00,15979.79
13,1982,2.17,2.72,19,no,no,8.62,7.80,11774.46
13,1983,2.26,2.61,19,no,no,8.52,7.50,12237.39
13,1984,2.41,2.51,19,no,no,8.64,6.00,12957.14
13,1985,2.28,2.42,19,no,no,8.99,6.50,13364.41
13,1986,2.51,2.35,20,no,no,9.34,5.90,13891.64
13,1987,2.57,2.28,21,no,no,9.69,5.50,14306.00
13,1988,2.61,2.19,21,no,no,9.82,5.80,14687.20
16,1982,2.62,0.40,19,no,no,8.03,9.80,11078.76
16,1983,2.66,0.39,19,no,no,8.39,9.80,11346.33
16,1984,2.42,0.37,19,no,no,7.78,7.20,11386.81
16,1985,2.54,0.36,19,no,no,7.67,7.90,11459.75
16,1986,2.57,0.35,19,no,no,7.90,8.70,11541.80
16,1987,2.63,0.34,21,no,no,8.14,8.00,11859.00
16,1988,2.56,0.32,21,no,no,8.10,5.80,12189.61
17,1982,1.44,0.19,21,no,no,5.70,11.30,14743.44
17,1983,1.33,0.18,21,no,no,5.86,11.40,14745.41
17,1984,1.34,0.17,21,no,no,6.07,9.10,15390.11
17,1985,1.33,0.17,21,no,no,6.14,9.00,15602.75
17,1986,1.38,0.16,21,no,no,6.35,8.10,15988.65
17,1987,1.43,0.16,21,no,no,6.54,7.40,16417.00
17,1988,1.58,0.15,21,no,no,6.76,6.80,16915.30
18,1982,1.75,0.31,21,no,no,7.15,11.90,12282.82
18,1983,1.86,0.30,21,no,no,7.28,11.10,12364.68
18,1984,1.68,0.28,21,no,no,7.48,8.60,13008.79
18,1985,1.77,0.27,21,no,no,7.42,7.90,13161.02
18,1986,1.89,0.27,21,no,no,7.71,6.70,13582.04
18,1987,1.91,0.26,21,no,no,7.98,6.40,13937.00
18,1988,1.98,0.25,21,no,no,9.20,5.30,14363.81
19,1982,1.65,0.38,19,no,no,6.65,8.50,12968.97
19,1983,1.77,0.36,19,no,no,6.77,8.10,12573.39
19,1984,1.45,0.35,19,no,no,7.06,7.00,13203.30
19,1985,1.64,0.33,19,no,no,7.00,8.00,13351.70
19,1986,1.55,0.38,20,no,no,7.19,7.00,13812.18
19,1987,1.73,0.43,21,no,no,7.34,5.50,14284.00
19,1988,1.97,0.48,21,no,no,7.73,4.50,14111.65
20,1982,2.07,0.48,21,yes,yes,7.33,6.30,14094.27
20,1983,1.69,0.47,21,yes,yes,7.48,6.10,13917.43
20,1984,2.09,0.45,21,yes,yes,7.67,5.20,14308.79
20,1985,1.98,0.43,21,yes,yes,7.87,5.00,14631.36
20,1986,2.03,0.42,21,yes,yes,8.10,5.40,14977.30
20,1987,1.98,0.41,21,yes,yes,8.30,4.90,15152.00
20,1988,1.94,0.39,21,yes,yes,8.48,4.80,15167.47
21,1982,2.23,0.22,21,no,no,6.94,10.60,11071.60
21,1983,2.09,0.21,21,no,no,7.19,11.70,10913.99
21,1984,2.03,0.20,21,no,no,7.51,9.30,11441.76
21,1985,1.91,0.19,21,no,no,7.65,9.50,11405.72
21,1986,2.16,0.19,21,no,no,7.86,9.30,11602.68
21,1987,2.26,0.18,21,no,no,8.14,8.80,12008.00
21,1988,2.25,0.17,21,no,no,8.48,7.90,12340.71
22,1982,2.49,0.87,18,yes,yes,6.14,10.30,12213.60
22,1983,2.10,0.83,18,yes,yes,6.21,11.80,11994.27
22,1984,2.15,0.80,18,yes,yes,7.08,10.00,12017.58
22,1985,2.08,0.77,18,yes,yes,7.45,11.50,11972.46
22,1986,2.07,0.75,18,yes,yes,7.11,13.10,11602.68
22,1987,1.85,0.73,21,yes,yes,6.86,12.00,11515.00
22,1988,2.10,0.70,21,yes,yes,7.87,10.90,11830.61
23,1982,1.46,0.81,20,yes,no,6.73,8.60,11442.72
23,1983,1.96,0.77,20,yes,no,6.92,9.00,11795.87
23,1984,2.01,0.74,20,yes,no,8.08,6.10,12271.43
23,1985,1.77,0.72,21,yes,no,7.97,5.40,12609.11
23,1986,1.83,0.75,21,yes,no,8.55,5.30,13292.05
23,1987,1.95,0.79,21,yes,no,9.07,4.40,13984.00
23,1988,2.12,0.76,21,yes,no,9.46,3.80,14538.98
24,1982,1.50,0.24,21,no,no,6.77,8.40,15198.09
24,1983,1.53,0.23,21,no,no,7.12,6.90,15644.50
24,1984,1.48,0.22,21,no,no,7.29,5.40,16313.19
24,1985,1.66,0.21,21,no,no,7.59,4.60,16921.61
24,1986,1.76,0.21,21,no,no,7.83,4.50,17475.75
24,1987,1.79,0.20,21,no,no,8.05,4.20,18167.00
24,1988,1.69,0.19,21,no,no,8.11,4.50,18755.53
25,1982,1.15,0.29,20,no,no,6.38,7.90,15215.99
25,1983,1.13,0.28,20,no,no,6.51,6.90,15801.61
25,1984,1.15,0.26,20,no,no,6.65,4.80,16735.16
25,1985,1.27,0.25,21,no,no,6.82,3.90,17271.19
25,1986,1.29,0.25,21,no,no,7.03,3.80,18145.51
25,1987,1.18,0.24,21,no,no,7.23,3.20,19050.00
25,1988,1.23,0.23,21,no,no,7.36,3.30,20034.65
26,1982,1.53,0.55,21,no,no,6.71,15.50,13247.02
26,1983,1.45,0.52,21,no,no,6.72,14.20,13606.65
26,1984,1.69,0.50,21,no,no,7.01,11.20,14317.58
26,1985,1.70,0.48,21,no,no,7.42,9.90,14830.51
26,1986,1.76,0.47,21,no,no,7.83,8.80,15278.64
26,1987,1.74,0.46,21,no,no,8.23,8.20,15418.00
26,1988,1.84,0.44,21,no,no,8.43,7.60,15930.70
27,1982,1.38,0.35,19,no,no,7.06,7.80,13781.62
27,1983,1.34,0.33,19,no,no,7.49,8.20,13840.60
27,1984,1.40,0.32,19,no,no,7.64,6.30,14734.07
27,1985,1.45,0.31,19,no,no,7.80,6.00,14983.05
27,1986,1.36,0.30,20,no,no,8.05,5.30,15464.40
27,1987,1.25,0.32,21,no,no,8.28,5.40,15910.00
27,1988,1.42,0.32,21,no,no,8.46,4.00,16048.12
28,1982,2.84,1.15,21,no,no,6.68,11.00,9553.70
28,1983,2.77,1.10,21,no,no,6.89,12.60,9513.76
28,1984,2.61,1.06,21,no,no,7.10,10.80,9792.31
28,1985,2.53,1.08,21,no,no,7.32,10.30,9797.67
28,1986,2.94,1.07,21,no,no,7.49,11.70,9996.90
28,1987,2.88,0.96,21,no,no,7.68,10.20,10303.00
28,1988,2.76,0.92,21,no,no,8.41,8.40,10698.75
29,1982,1.80,0.35,21,no,no,7.08,9.20,12968.97
29,1983,1.84,0.33,21,no,no,7.36,9.90,13186.93
29,1984,1.93,0.32,21,no,no,7.71,7.20,13727.47
29,1985,1.85,0.31,21,no,no,7.81,6.40,14033.90
29,1986,2.23,0.30,21,no,no,8.16,6.10,14368.42
29,1987,2.05,0.29,21,no,no,8.50,6.30,14648.00
29,1988,2.15,0.28,21,no,no,8.86,5.70,14871.99
30,1982,3.16,0.35,19,yes,no,8.28,8.60,12033.41
30,1983,3.50,0.33,19,yes,no,8.80,8.80,11954.13
30,1984,2.89,0.32,19,yes,no,8.97,7.40,11906.59
30,1985,2.70,0.32,19,yes,no,9.17,7.70,11669.49
30,1986,2.72,0.32,19,yes,no,9.58,8.10,12076.37
30,1987,2.89,0.32,20,yes,no,9.98,7.40,12291.00
30,1988,2.46,0.32,21,yes,no,10.11,6.80,12383.06
31,1982,1.64,0.38,20,no,no,7.19,6.10,13192.12
31,1983,1.60,0.36,20,no,no,7.23,5.70,12919.72
31,1984,1.78,0.35,20,no,no,26.15,4.40,13540.66
31,1985,1.48,0.37,21,no,no,7.51,5.50,13735.17
31,1986,1.81,0.46,21,no,no,7.87,5.00,13971.10
31,1987,1.86,0.47,21,no,no,8.21,4.90,14300.00
31,1988,1.63,0.50,21,no,no,8.37,3.60,14219.44
32,1982,3.19,0.16,21,no,no,7.30,10.10,14914.08
32,1983,2.82,0.20,21,yes,yes,7.66,9.80,14863.53
32,1984,2.72,0.22,21,yes,yes,8.00,7.80,15214.29
32,1985,2.77,0.21,21,yes,yes,8.08,8.00,15564.62
32,1986,2.41,0.21,21,yes,yes,8.25,6.00,15976.26
32,1987,2.60,0.20,21,yes,yes,8.34,6.30,16412.00
32,1988,2.71,0.19,21,yes,yes,8.53,5.20,16853.71
33,1982,1.82,0.48,20,no,no,7.35,7.40,13834.13
33,1983,1.99,0.57,20,no,no,7.49,5.40,14662.84
33,1984,1.96,0.74,20,no,no,7.46,4.30,15451.65
33,1985,1.91,0.72,20,no,no,7.55,3.90,16280.72
33,1986,1.67,0.70,21,no,no,8.13,2.80,17132.10
33,1987,1.69,0.68,21,no,no,8.67,2.50,17906.00
33,1988,1.53,0.65,21,no,no,8.76,2.40,18704.52
34,1982,1.43,0.09,19,no,no,6.97,9.00,16665.87
34,1983,1.25,0.09,21,no,no,6.99,7.80,17275.23
34,1984,1.23,0.08,21,no,no,6.96,6.20,18065.93
34,1985,1.27,0.08,21,no,no,7.02,5.70,18662.08
34,1986,1.36,0.08,21,no,no,7.22,5.00,19421.05
34,1987,1.33,0.08,21,no,no,7.44,4.00,20313.00
34,1988,1.36,0.07,21,no,no,7.60,3.80,21168.43
35,1982,4.22,0.24,21,no,no,8.66,9.20,11347.25
35,1983,3.79,0.35,21,no,no,8.33,10.10,11288.99
35,1984,3.49,0.45,21,no,no,8.72,7.50,11539.56
35,1985,3.69,0.43,21,no,no,9.15,8.80,11861.23
35,1986,3.37,0.42,21,no,no,9.60,9.20,11825.59
35,1987,3.79,0.41,21,no,no,10.08,8.90,11898.00
35,1988,3.23,0.39,21,no,no,10.14,7.80,12019.25
36,1982,1.23,0.12,19,no,no,4.58,8.60,15158.71
36,1983,1.17,0.13,19,no,no,4.74,8.60,15573.39
36,1984,1.16,0.14,19,no,no,4.92,7.20,16335.17
36,1985,1.13,0.13,19,no,no,5.09,6.50,16708.69
36,1986,1.19,0.13,21,no,no,5.30,6.30,17326.11
36,1987,1.31,0.12,21,no,no,5.50,4.90,18005.00
36,1988,1.26,0.12,21,no,no,5.79,4.20,18580.37
37,1982,2.17,1.43,21,no,no,7.16,9.00,11078.76
37,1983,2.03,1.38,21,no,no,7.41,8.90,11455.28
37,1984,2.35,1.32,21,no,no,7.81,6.70,12089.01
37,1985,2.37,1.27,21,no,no,7.98,5.40,12353.81
37,1986,2.60,1.24,21,no,no,8.25,5.30,12839.01
37,1987,2.47,1.20,21,no,no,8.51,4.50,13325.00
37,1988,2.42,1.15,21,no,no,8.93,3.60,13767.08
38,1982,2.20,0.43,21,no,no,7.82,5.90,12553.70
38,1983,1.70,0.41,21,no,no,7.88,5.60,12389.91
38,1984,1.46,0.40,21,no,no,7.83,5.10,12690.11
38,1985,1.31,0.38,21,no,no,7.86,5.90,12661.02
38,1986,1.47,0.37,21,no,no,8.15,6.30,12817.34
38,1987,1.50,0.36,21,no,no,8.45,5.20,12971.00
38,1988,1.56,0.35,21,no,no,8.64,4.80,12351.30
39,1982,1.49,0.43,21,no,no,6.66,12.50,13039.38
39,1983,1.47,0.41,21,yes,no,6.82,12.20,13236.24
39,1984,1.53,0.40,21,yes,no,6.97,9.40,13784.62
39,1985,1.53,0.38,21,yes,no,7.03,8.90,13992.58
39,1986,1.56,0.37,21,yes,no,7.20,8.10,14279.67
39,1987,1.64,0.36,21,no,no,7.34,7.00,14598.00
39,1988,1.62,0.35,21,no,no,7.55,6.00,14952.84
40,1982,3.26,0.87,21,no,no,9.29,5.70,13552.51
40,1983,2.56,0.83,21,no,no,8.93,9.00,12784.40
40,1984,2.41,0.95,21,no,no,9.36,7.00,12881.32
40,1985,2.25,0.96,21,no,no,9.45,7.10,12904.66
40,1986,2.11,0.94,21,no,no,9.50,8.20,12656.35
40,1987,1.82,0.91,21,no,no,9.66,7.40,12607.00
40,1988,1.96,0.87,21,no,no,9.99,6.70,12822.91
41,1982,1.94,0.23,21,no,no,7.26,11.50,12626.49
41,1983,2.07,0.22,21,no,no,7.73,10.80,12925.46
41,1984,2.14,0.21,21,yes,yes,7.83,9.40,13246.15
41,1985,2.08,0.20,21,yes,yes,7.99,8.80,13376.06
41,1986,2.29,0.19,21,yes,yes,8.29,8.50,13649.12
41,1987,2.28,0.19,21,yes,yes,8.57,6.20,14019.00
41,1988,2.45,0.18,21,yes,yes,9.11,5.80,14326.28
42,1982,1.53,0.29,21,no,no,6.00,10.90,13651.55
42,1983,1.45,0.28,21,no,no,6.08,11.80,13706.42
42,1984,1.45,0.26,21,no,no,6.25,9.10,13987.91
42,1985,1.49,0.25,21,no,no,6.36,8.00,14356.99
42,1986,1.59,0.25,21,no,no,6.48,6.80,14713.11
42,1987,1.66,0.24,21,no,no,6.59,5.70,15200.00
42,1988,1.61,0.23,21,no,no,6.77,5.10,15623.68
44,1982,1.10,0.17,20,no,no,6.19,10.20,13326.97
44,1983,1.05,0.17,20,no,no,6.29,8.30,13759.17
44,1984,0.82,0.16,21,no,no,5.51,5.30,14312.09
44,1985,1.13,0.15,21,no,no,6.02,4.90,14595.34
44,1986,1.27,0.15,21,no,no,6.06,4.00,15109.39
44,1987,1.15,0.15,21,no,no,6.09,3.80,15633.00
44,1988,1.26,0.14,21,no,no,5.89,3.10,16257.94
45,1982,2.26,2.06,21,no,no,7.51,10.80,10393.79
45,1983,2.59,1.98,21,yes,yes,7.67,10.00,10693.81
45,1984,2.77,1.90,21,yes,yes,7.87,7.10,11160.44
45,1985,2.84,1.83,21,yes,yes,7.97,6.80,11369.70
45,1986,3.13,1.78,21,yes,yes,8.41,6.20,11674.92
45,1987,3.17,1.73,21,yes,yes,8.82,5.60,12027.00
45,1988,2.98,1.66,21,yes,yes,9.15,4.50,12440.81
46,1982,2.13,0.72,21,no,no,9.17,5.50,11323.39
46,1983,2.50,0.69,21,no,no,9.04,5.40,11091.74
46,1984,2.03,0.66,21,no,no,9.08,4.30,11661.54
46,1985,1.84,0.64,21,no,no,8.87,5.10,11684.32
46,1986,1.89,0.62,21,no,no,8.82,4.70,12175.44
46,1987,1.89,0.61,21,no,no,8.76,4.20,12545.00
46,1988,2.06,0.59,21,no,no,9.30,3.90,12276.23
47,1982,2.26,0.34,19,yes,no,7.46,11.80,10988.07
47,1983,2.21,0.32,19,yes,no,7.73,11.50,11183.49
47,1984,2.32,0.31,20,yes,no,7.73,8.60,11704.40
47,1985,2.31,0.30,21,yes,no,7.61,8.00,11919.49
47,1986,2.56,0.29,21,yes,no,8.17,8.00,12371.52
47,1987,2.57,0.28,21,yes,no,8.68,6.60,12876.00
47,1988,2.59,0.27,21,yes,no,9.03,5.80,13352.26
48,1982,2.74,0.43,19,no,no,8.14,6.90,13942.72
48,1983,2.42,0.42,19,no,no,8.34,8.00,13692.66
48,1984,2.43,0.42,19,no,no,8.56,5.90,14039.56
48,1985,2.25,0.46,19,no,no,8.75,7.00,14270.13
48,1986,2.14,0.45,20,no,no,8.82,8.90,13950.46
48,1987,1.94,0.44,21,no,no,9.01,8.40,13889.00
48,1988,2.01,0.42,21,no,no,9.29,7.30,14038.50
49,1982,1.89,0.36,21,no,no,7.01,7.80,10788.78
49,1983,1.77,0.63,21,yes,yes,7.04,9.20,10779.82
49,1984,1.94,0.88,21,yes,yes,7.18,6.50,11120.88
49,1985,1.84,0.85,21,yes,yes,7.32,5.90,11284.96
49,1986,1.88,0.82,21,yes,yes,7.43,6.00,11339.53
49,1987,1.76,0.80,21,yes,yes,7.55,6.40,11389.00
49,1988,1.76,0.77,21,yes,yes,7.85,4.90,11735.32
50,1982,2.06,0.71,18,no,no,7.68,6.90,12064.44
50,1983,1.79,0.68,18,no,no,7.91,6.90,12186.93
50,1984,2.15,0.66,18,no,no,8.31,5.20,12680.22
50,1985,2.15,0.63,18,no,no,8.76,4.80,13112.29
50,1986,2.01,0.62,20,no,no,8.99,4.70,13740.97
50,1987,2.17,0.60,21,no,no,9.20,3.60,14325.00
50,1988,2.32,0.57,21,no,no,9.97,2.80,14727.62
51,1982,1.61,0.76,21,no,no,7.55,7.70,13878.28
51,1983,1.62,0.73,21,no,no,7.61,6.10,14299.31
51,1984,1.80,0.70,21,no,no,7.90,5.00,14906.59
51,1985,1.71,0.67,21,no,no,8.40,5.60,15323.09
51,1986,1.94,0.66,21,no,no,8.87,5.00,15915.38
51,1987,1.73,0.64,21,no,no,9.29,4.20,16486.00
51,1988,1.78,0.61,21,no,no,9.55,3.90,17011.55
53,1982,1.75,0.23,21,yes,no,7.31,12.10,14342.48
53,1983,1.62,0.23,21,yes,no,8.40,11.20,14534.40
53,1984,1.72,0.22,21,yes,no,7.87,9.50,14758.24
53,1985,1.69,0.21,21,yes,no,7.80,8.10,14909.96
53,1986,1.58,0.21,21,yes,no,8.17,8.20,15375.64
53,1987,1.72,0.20,21,yes,no,8.49,7.60,15630.00
53,1988,1.67,0.19,21,yes,no,9.00,6.20,15854.67
54,1982,2.29,0.48,18,yes,no,5.57,13.90,10748.21
54,1983,2.17,0.46,19,yes,no,5.96,18.00,10451.83
54,1984,2.25,0.44,19,yes,no,6.49,15.00,10641.76
54,1985,2.17,0.42,19,yes,no,6.54,13.00,10669.49
54,1986,2.30,0.41,20,yes,no,6.89,11.80,10888.54
54,1987,2.48,0.40,21,yes,no,7.24,10.80,10992.00
54,1988,2.45,0.38,21,yes,no,7.40,9.90,11294.51
55,1982,1.62,0.17,18,no,no,6.91,10.70,13213.60
55,1983,1.53,0.17,18,no,no,7.18,10.40,13291.28
55,1984,1.73,0.16,19,no,no,7.43,7.30,13818.68
55,1985,1.56,0.15,19,no,no,7.68,7.20,13952.33
55,1986,1.56,0.15,20,no,no,8.04,7.00,14351.91
55,1987,1.66,0.14,21,no,no,8.36,6.10,14720.00
55,1988,1.66,0.14,21,no,no,8.75,4.30,14941.29
56,1982,3.94,0.05,19,yes,no,10.35,5.80,14600.24
56,1983,3.35,0.05,19,yes,no,9.80,8.40,13574.54
56,1984,3.06,0.05,19,yes,no,9.99,6.30,13456.04
56,1985,2.99,0.05,19,yes,no,10.61,7.10,13595.34
56,1986,3.31,0.05,19,yes,no,10.62,9.00,13126.93
56,1987,2.63,0.05,19,yes,no,10.95,8.60,12719.00
56,1988,3.24,0.04,20,yes,no,11.81,6.30,13098.17