,name,orgs_name,gists,following,public repos,followers,Deep Learning Community,contributions,year
817,colllin,3,24,46,75,26,Keras,1,8
818,cosmith,0,16,31,52,31,Keras,1,7
819,cgratie,0,0,0,18,0,Keras,1,4
820,deltheil,1,47,39,32,106,Keras,1,8
821,dan-nadler,0,0,2,19,3,Keras,1,4
822,23pointsNorth,1,4,0,33,13,Keras,1,5
823,taehoonlee,2,0,73,23,142,Keras,88,5
824,pjadzinsky,0,0,6,32,4,Keras,3,3
825,tristandeleu,0,0,0,13,91,Keras,12,6
826,decrispell,2,1,0,11,7,Keras,1,6
827,danieljl,0,0,2,23,23,Keras,1,6
828,danielS91,0,2,2,3,3,Keras,1,3
829,danielegrattarola,0,0,10,11,37,Keras,1,3
830,danieldk,3,30,14,49,89,Keras,1,9
831,Dandandan,0,0,2,50,20,Keras,1,9
832,davechallis,0,0,5,22,9,Keras,1,8
833,dwillmer,3,1,2,110,48,Keras,1,6
834,capybaralet,0,1,1,61,31,Keras,1,5
835,Dref360,1,12,24,28,68,Keras,26,4
836,davidslac,0,0,2,22,9,Keras,1,2
837,kemaswill,0,1,5,62,33,Keras,12,6
838,davidvetrano,2,0,24,12,13,Keras,1,7
839,daavoo,0,2,22,11,33,Keras,1,3
840,hevensun,0,2,32,161,0,Keras,1,4
841,dmadeka,0,0,0,39,23,Keras,1,4
842,ducha-aiki,0,8,4,42,140,Keras,1,5
843,DomHudson,0,0,3,6,1,Keras,1,3
844,DominicBreuker,0,15,7,57,42,Keras,1,5
845,dmaniry,0,1,2,4,4,Keras,1,8
846,brainnoise,3,1,0,4,40,Keras,3,3
847,kashif,1,28,53,126,172,Keras,12,10
848,erg,2,6,19,30,37,Keras,1,10
849,d0ugal,9,44,69,105,195,Keras,1,9
850,durgeshm,0,8,4,16,2,Keras,1,7
851,edrogers,0,0,2,29,4,Keras,1,8
852,edsonmedina,0,0,63,7,28,Keras,1,10
853,emad,2,3,26,11,23,Keras,1,10
854,erfannoury,2,11,119,39,81,Keras,1,6
855,smistad,0,0,21,41,126,Keras,1,8
856,evhub,0,13,171,111,175,Keras,1,6
857,pasky,2,2,1,39,176,Keras,3,10
858,fsonntag,0,0,11,25,10,Keras,1,7
859,gw0,0,0,0,64,31,Keras,12,7
860,FirefoxMetzger,0,28,0,26,3,Keras,1,5
861,fbrundu,0,15,24,23,15,Keras,1,7
862,fran6co,2,11,1,97,14,Keras,1,7
863,FuriouslyCurious,0,7,101,12,12,Keras,1,4
864,gklambauer,1,1,0,19,33,Keras,1,7
865,GPhilo,0,0,0,3,0,Keras,1,5
866,GalaxyDream,0,0,12,41,7,Keras,1,3
867,GarrisonJ,1,7,45,35,13,Keras,1,6
868,pranv,0,1,5,7,45,Keras,3,4
869,jgrnt,0,0,9,20,4,Keras,1,6
870,Joshua-Chin,0,1,6,36,12,Keras,11,5
871,georgwiese,0,1,0,16,10,Keras,1,6
872,geohot,0,8,1,34,4723,Keras,1,9
873,GregorySenay,0,0,0,10,1,Keras,1,5
874,rodgzilla,0,0,7,49,14,Keras,1,3
875,lathen,0,0,0,10,3,Keras,1,6
876,mynameisguy,0,1,0,6,6,Keras,1,7
877,hijoe320,0,0,10,15,9,Keras,1,7
878,HappyStorm,0,2,194,25,19,Keras,1,4
879,robertomest,0,0,5,5,9,Keras,3,5
880,hotdogee,0,0,0,30,5,Keras,1,6
881,vivshaw,0,0,12,34,9,Keras,1,2
882,henry0312,4,45,19,29,50,Keras,11,8
883,heath730,0,0,4,5,2,Keras,1,5
884,HelgeS,0,0,0,36,4,Keras,1,6
885,guohengkai,0,0,77,17,21,Keras,1,5
886,vwrs,0,9,4,13,7,Keras,1,3
887,hiromichinomata,0,1,0,35,9,Keras,1,3
888,xuhdev,4,39,27,122,107,Keras,1,8
889,hhkarimi,0,0,0,9,0,Keras,1,2
890,roatienza,0,0,0,23,70,Keras,3,4
891,igormq,0,7,26,26,44,Keras,1,7
892,ilivans,0,1,3,32,32,Keras,1,2
893,uralik,0,0,28,9,13,Keras,1,6
894,bstriner,0,5,1,54,144,Keras,10,3
895,Indy9000,0,15,1,86,5,Keras,1,3
896,johnyf,1,1,10,61,61,Keras,1,6
897,israelg99,0,0,9,36,35,Keras,1,6
898,ISosnovik,1,2,11,26,59,Keras,1,3
899,inexxt,0,7,1,46,3,Keras,1,4
900,JakeBecker,0,0,0,20,32,Keras,1,7
901,srjoglekar246,2,0,1,17,62,Keras,3,6
902,jstypka,1,2,7,10,18,Keras,1,5
903,jdoerrie,1,1,2,14,16,Keras,1,5
904,yosinski,1,5,10,43,417,Keras,1,8
905,JasonTam,1,12,34,39,20,Keras,1,6
906,dbonadiman,0,2,17,10,19,Keras,10,6
907,jtdoepke,0,4,12,23,4,Keras,1,7
908,jedrekfulara,0,0,0,2,1,Keras,1,3
909,jeremyfix,0,1,0,38,21,Keras,1,7
910,jerheff,1,3,2,8,12,Keras,1,5
911,kalkun,0,7,9,11,12,Keras,1,6
912,TimZaman,1,1,9,18,64,Keras,3,4
913,glennq,0,2,6,13,24,Keras,1,5
914,novotnj3,0,0,0,3,1,Keras,1,2
915,snurkabill,0,6,28,45,25,Keras,1,5
916,joeyhng,0,4,34,23,39,Keras,1,7
917,johanahlqvist,0,1,1,2,1,Keras,1,3
918,keunwoochoi,0,20,36,55,325,Keras,10,3
919,jpauwels,0,4,17,31,13,Keras,1,8
920,ahojnnes,2,7,7,60,133,Keras,1,9
921,jbn,1,36,133,133,67,Keras,1,9
922,DEKHTIARJonathan,2,17,32,28,30,Keras,1,3
923,nagadomi,0,21,22,43,776,Keras,4,8
924,vchernobyl,0,0,10,12,1,Keras,3,3
925,jinntrance,0,0,9,75,63,Keras,1,6
926,jphalip,1,18,3,64,124,Keras,1,9
927,tae-jun,1,1,10,37,25,Keras,1,4
928,jurim0301,0,0,0,6,0,Keras,1,3
929,jdespraz,0,0,0,6,0,Keras,1,2
930,Lewuathe,3,93,194,86,147,Keras,1,6
931,souptc,1,0,1,9,8,Keras,10,3
932,ksindi,1,62,78,24,29,Keras,1,6
933,johnjacobkenny,0,0,1,8,3,Keras,1,2
934,kevinbache,0,0,2,17,11,Keras,1,7
935,yang-zhang,0,2,16,70,4,Keras,3,6
936,kmader,2,70,119,99,96,Keras,1,9
937,VitamintK,1,10,58,67,26,Keras,1,7
938,texttheater,0,4,12,41,23,Keras,1,10
939,Kongsea,0,3,9,57,12,Keras,1,5
940,cheekujodhpur,0,7,13,65,48,Keras,1,5
941,kumaranvpl,0,7,222,84,14,Keras,1,4
942,kyle-dorman,0,4,6,27,28,Keras,1,6
943,EderSantana,2,20,2,68,526,Keras,65,5
944,amitbeka,0,0,0,18,4,Keras,9,4
945,KyotoSunshine,0,0,0,3,2,Keras,1,3
946,nehz,1,3,15,79,62,Keras,3,9
947,concerttttt,0,0,29,27,1,Keras,1,2
948,lgautier,0,9,3,38,45,Keras,1,7
949,Naereen,1,8,238,115,69,Keras,1,3
950,liormagen,0,0,16,51,8,Keras,1,3
951,lucasdavid,3,2,15,26,27,Keras,1,6
952,lucashu1,0,0,6,15,9,Keras,1,6
953,lutzroeder,3,0,0,11,163,Keras,1,8
954,yasoob,2,9,49,165,395,Keras,1,5
955,Smerity,0,43,114,60,450,Keras,9,10
956,MPiecuch,0,0,0,1,0,Keras,1,4
957,jfsantos,2,34,56,179,161,Keras,26,10
958,de-vri-es,4,2,4,35,18,Keras,1,7
959,jocicmarko,1,0,0,3,86,Keras,1,6
960,MartinXPN,1,0,0,9,13,Keras,1,3
961,marthall,3,13,48,34,34,Keras,1,6
962,n17r4m,0,0,4,31,1,Keras,1,6
963,alshedivat,1,0,15,27,122,Keras,1,6
964,mewwts,0,5,9,38,65,Keras,1,6
965,mdering,0,6,3,13,5,Keras,1,7
966,matthiasplappert,0,11,3,43,271,Keras,1,9
967,vzhong,2,8,16,47,126,Keras,9,6
968,MoyanZitto,0,0,7,44,171,Keras,3,3
969,MatthieuPerrot,0,0,0,4,7,Keras,1,8
970,maexlich,0,4,5,14,4,Keras,1,6
971,mangerlahn,2,0,18,16,12,Keras,1,3
972,Max-Pol,0,0,4,15,1,Keras,1,3
973,maximsch2,0,7,0,49,10,Keras,1,8
974,LawnboyMax,0,1,3,23,5,Keras,1,2
975,nyghtowl,0,2,72,87,268,Keras,1,5
976,MrMYHuang,0,2,2,34,4,Keras,1,3
977,airalcorn2,0,9,30,17,127,Keras,1,6
978,mab4058,1,0,0,2,0,Keras,1,2
979,cclauss,2,34,34,1119,131,Keras,3,5
980,patyork,0,2,1,46,24,Keras,9,6
981,dalupus,0,9,1,31,2,Keras,1,7
982,mkirch,0,0,16,14,12,Keras,1,4
983,podhrmic,1,4,4,36,25,Keras,1,6
984,mendesmiguel,0,0,2,20,7,Keras,1,5
985,mikekestemont,0,0,3,53,65,Keras,1,5
986,mikesol,0,5,0,38,8,Keras,1,8
987,kmike,10,65,0,143,717,Keras,1,9
988,MiliasV,0,4,5,14,1,Keras,1,3
989,smonami,1,1,31,32,16,Keras,1,6
990,charlesollion,0,0,9,4,26,Keras,3,3
991,neggert,0,13,2,31,4,Keras,9,7
992,milani,2,14,26,23,192,Keras,1,8
993,dosht,0,6,11,26,15,Keras,1,8
994,eroniki,0,34,23,68,20,Keras,1,6
995,nsuh,0,1,39,25,17,Keras,1,4
996,nickbabcock,0,6,0,59,19,Keras,1,6
997,pnb,0,0,2,7,3,Keras,1,7
998,sandpiturtle,0,0,15,18,16,Keras,1,2
999,nils-werner,1,52,20,148,71,Keras,1,9
1000,hgaiser,1,24,1,25,25,Keras,8,7
1001,eulerreich,1,2,0,23,2,Keras,3,5
1002,olegantonyan,0,10,4,45,14,Keras,1,6
1003,olalonde,1,40,65,222,180,Keras,1,8
1004,ogrisel,4,73,116,142,2274,Keras,1,9
1005,OliPhilip,0,0,0,3,1,Keras,1,5
1006,holli,0,0,9,29,9,Keras,1,9
1007,ofilip,0,0,3,9,1,Keras,1,5
1008,oswaldoludwig,0,0,2,19,37,Keras,1,2
1009,PPACI,0,2,1,14,7,Keras,1,5
1010,parag2489,0,0,0,7,2,Keras,1,4
1011,jdwittenauer,0,0,28,17,308,Keras,8,6
1012,floydwch,0,1,743,34,87,Keras,3,6
1013,khosravipasha,3,1,159,13,32,Keras,1,6
1014,kilotaras,0,10,0,4,8,Keras,8,7
1015,datumbox,0,0,13,34,227,Keras,8,5
1016,kuza55,0,1,0,29,21,Keras,8,8
1017,maxpumperla,0,8,0,15,242,Keras,63,5
1018,jramapuram,1,3,11,41,35,Keras,8,4
1019,joelthchao,0,10,10,23,96,Keras,8,3
1020,cmyr,1,2,26,55,55,Keras,8,5
1021,angeloskath,0,3,5,23,44,Keras,7,7
1022,kylemcdonald,3,180,47,207,2310,Keras,7,9
1023,jarfo,0,1,0,11,16,Keras,3,6
1024,matt-gardner,1,1,0,61,73,Keras,7,5
1025,mynameisfiber,9,39,46,114,264,Keras,7,9
1026,stephenbalaban,1,1,35,64,81,Keras,7,8
1027,berleon,1,2,11,57,29,Keras,7,7
1028,dolaameng,1,9,62,108,101,Keras,7,10
1029,phreeza,0,14,12,37,48,Keras,62,9
1030,DingKe,0,3,0,44,50,Keras,7,5
1031,jeffzhengye,0,4,20,161,11,Keras,7,5
1032,bzamecnik,0,63,8,76,64,Keras,6,8
1033,bdwyer2,2,0,63,12,17,Keras,6,2
1034,entron,0,8,14,11,55,Keras,4,5
1035,jorgecarleitao,1,8,0,13,15,Keras,3,6
1036,braingineer,2,30,22,53,65,Keras,6,6
1037,fredtony,0,0,1,9,0,Keras,6,2
1038,gokceneraslan,1,12,50,97,178,Keras,6,7
1039,kenterao,0,0,5,9,0,Keras,6,5
1040,mthrok,0,5,5,40,5,Keras,6,7
1041,wxs,0,4,3,17,62,Keras,53,8
1042,rodrigob,0,2,86,36,227,Keras,6,9
1043,icyblade,0,2,14,41,17,Keras,6,5
1044,dansbecker,0,10,0,17,110,Keras,5,6
1045,Reddine,1,2,45,10,29,Keras,5,7
1046,smauq,0,0,0,3,1,Keras,3,4
1047,nicolewhite,3,20,14,47,492,Keras,5,4
1048,rilut,0,27,83,59,39,Keras,5,6
1049,untom,1,0,0,15,45,Keras,5,5
1050,yukoba,0,22,51,54,32,Keras,5,8
1051,ghostplant,0,0,5,29,10,Keras,5,3
1052,masstomato,0,0,2,5,2,Keras,5,4
1053,the-moliver,0,0,0,21,24,Keras,37,9
1054,rushter,0,2,19,9,440,Keras,5,5
1055,linxihui,1,0,2,18,22,Keras,5,4
1056,grahamannett,0,4,13,21,11,Keras,5,4
1057,stas-sl,0,33,12,14,6,Keras,3,5
1058,awentzonline,0,29,35,116,190,Keras,4,5
1059,basveeling,0,2,20,38,51,Keras,4,8
1060,cedias,0,9,33,43,26,Keras,4,6
1061,frexvahi,0,1,1,11,1,Keras,4,1
1062,kli-nlpr,0,0,103,100,22,Keras,4,3
1063,viirya,0,6,4,143,125,Keras,4,9
1064,nzw0301,1,46,46,27,58,Keras,35,4
1065,minkooseo,0,0,4,8,18,Keras,4,6
1066,ramananbalakrishnan,0,5,0,10,11,Keras,4,4
1067,mezzode,0,6,8,19,6,Keras,4,4
1068,t-ae,1,7,1,43,6,Keras,3,3
1069,caisq,0,0,32,14,170,Keras,4,2
1070,SimonSuster,2,0,26,21,22,Keras,4,6
1071,titu1994,0,7,10,117,665,Keras,4,6
1072,stephenroller,1,20,23,31,28,Keras,4,10
1073,Yorwba,0,0,0,10,0,Keras,4,4
1074,alvations,0,37,43,198,120,Keras,4,7
1075,anayebi,0,0,15,3,31,Keras,4,3
1076,ahundt,0,32,62,114,128,Keras,24,9
1077,vkk800,0,1,0,4,0,Keras,3,2
1078,oeway,0,8,9,56,35,Keras,3,8
1079,abnera,0,0,1,7,8,Keras,2,2
1080,achalshah20,0,0,7,42,15,Keras,2,4
1081,alanyee,0,1,9,49,14,Keras,2,6
1082,cocuh,0,77,51,62,66,Keras,4,6
1083,AndreiCostinescu,0,0,4,16,2,Keras,2,4
1084,anjishnu,0,5,6,35,39,Keras,2,6
1085,ArdalanM,0,1,20,16,41,Keras,2,5
1086,barvinograd,0,8,4,11,2,Keras,2,7
1087,myutwo150,0,0,0,0,0,Keras,24,0
1088,erilyth,0,6,50,130,383,Keras,2,4
1089,bbabenko,0,2,0,7,33,Keras,2,7
1090,Dapid,0,11,0,34,2,Keras,2,6
1091,dgorissen,3,1,4,31,76,Keras,2,7
1092,jmhessel,0,1,0,21,32,Keras,4,8
1093,lukovkin,0,6,3,21,24,Keras,2,5
1094,EdwardRaff,0,1,9,15,65,Keras,2,6
1095,staticfloat,2,179,7,1615,68,Keras,2,9
1096,faroit,3,15,101,107,55,Keras,2,9
1097,felixlaumon,2,16,61,22,134,Keras,2,8
1098,julienr,0,20,7,62,115,Keras,21,8
1099,zo7,0,5,17,22,88,Keras,2,5
1100,ghisvail,1,0,4,149,31,Keras,2,6
1101,arodiss,0,6,0,24,5,Keras,2,7
1102,jjallaire,2,28,0,84,679,Keras,2,9
1103,wassname,2,76,33,118,66,Keras,4,7
1104,jsaporta,0,0,1,6,10,Keras,2,3
1105,jayanthkoushik,0,0,21,10,56,Keras,2,5
1106,joeyearsley,0,2,1,28,6,Keras,2,6
1107,joshloyal,0,1,1,110,16,Keras,2,7
1108,crowsonkb,0,19,5,43,15,Keras,2,5
1109,gvtulder,0,3,0,6,7,Keras,17,10
1110,easyas314159,1,1,4,13,7,Keras,2,7
1111,NickShahML,0,0,1,19,128,Keras,2,3
1112,Leoyzen,0,0,3,27,3,Keras,2,5
1113,lunardog,0,22,170,49,55,Keras,2,8
1114,ozancaglayan,1,16,101,35,149,Keras,4,8
1115,lukeyeager,0,11,111,49,249,Keras,2,7
1116,ynqa,1,0,0,15,12,Keras,2,4
1117,MartinThoma,0,59,6,130,218,Keras,2,6
1118,rollingstone,0,7,0,344,2,Keras,2,8
1119,mjdietzx,0,16,15,16,30,Keras,2,4
1120,moutai,0,2,2,56,7,Keras,2,8
1121,N-McA,0,5,1,18,2,Keras,2,4
1122,nigeljyng,0,5,10,12,12,Keras,2,3
1123,nisargjhaveri,2,5,7,32,76,Keras,2,4
1124,nithishdivakar,0,4,5,37,2,Keras,2,3
1125,abishekk92,3,36,22,87,47,Keras,3,7
1126,obilaniu,0,0,0,18,19,Keras,2,5
1127,piperchester,3,15,124,232,93,Keras,2,6
1128,pokey,0,0,1,36,3,Keras,2,7
1129,gewoonrik,1,0,9,26,13,Keras,2,6
1130,tleeuwenburg,0,1,1,21,23,Keras,17,9
1131,bryant1410,3,6,106,3932,153,Keras,2,5
1132,chsasank,0,4,5,42,93,Keras,2,4
1133,woozzu,0,0,0,17,85,Keras,2,7
1134,Sebubu,0,1,9,19,13,Keras,2,4
1135,Shaofanl,0,0,1,28,16,Keras,2,5
1136,Yangqing,8,4,12,42,3378,Caffe2,579,7
1137,asaadaldien,0,0,1,10,3,Caffe2,66,7
1138,ajtulloch,0,190,80,102,773,Caffe2,65,7
1139,rxianfb,0,0,0,0,0,Caffe2,1,1
1140,kochie,2,5,25,64,27,Caffe2,1,3
1141,roxiehehehe,0,0,0,3,0,Caffe2,1,1
1142,viswanathgs,1,7,71,29,165,Caffe2,28,9
1143,seansnyder,0,0,0,2,2,Caffe2,1,8
1144,smessmer,1,0,0,31,9,Caffe2,1,6
1145,Setogit,0,0,0,28,12,Caffe2,1,5
1146,songhan,1,1,3,33,842,Caffe2,1,6
1147,suryaprakaz,0,0,12,13,2,Caffe2,1,4
1148,Swetko,0,0,0,2,0,Caffe2,1,3
1149,rayleichen,0,0,0,1,0,Caffe2,4,3
1150,houseroad,2,1,15,12,19,Caffe2,28,1
1151,xw0,0,1,2,32,9,Caffe2,1,7
1152,pietern,1,79,4,35,407,Caffe2,123,10
1153,chocjy,0,0,0,9,8,Caffe2,27,6
1154,xiaoyunwu,0,0,4,14,18,Caffe2,1,5
1155,caiyang,0,0,0,2,1,Caffe2,1,6
1156,wangkuiyi,0,28,1,98,721,Caffe2,1,6
1157,ipiszy,0,0,8,6,2,Caffe2,1,3
1158,ppwwyyxx,4,10,42,39,1323,Caffe2,1,6
1159,itomatik,0,0,0,2,4,Caffe2,1,7
1160,pestevez,0,0,0,2,2,Caffe2,4,2
1161,benzyx,0,0,7,10,7,Caffe2,26,5
1162,yzheng624,5,12,131,58,104,Caffe2,1,7
1163,4pao,0,0,13,31,2,Caffe2,1,5
1164,haracejacob,0,0,1,10,2,Caffe2,1,2
1165,iamqk,0,0,4,9,1,Caffe2,1,8
1166,inspire99,0,0,73,8,7,Caffe2,1,2
1167,githubGomathi,0,0,0,2,19,Caffe2,1,2
1168,zzz197,0,0,0,3,0,Caffe2,1,3
1169,Erotemic,0,33,0,72,40,Caffe2,1,5
1170,Knight-X,1,0,3,98,8,Caffe2,1,6
1171,dbermond,0,0,0,6,0,Caffe2,4,3
1172,kevinbchen,0,0,0,5,5,Caffe2,1,6
1173,mdschatz,0,0,0,5,0,Caffe2,1,2
1174,mingzhe09088,0,0,0,2,0,Caffe2,1,0
1175,uestclx,0,0,17,39,0,Caffe2,1,3
1176,vtomole,0,10,5,29,26,Caffe2,1,4
1177,urikz,0,0,2,11,16,Caffe2,24,6
1178,wjcskqygj2015,0,0,0,18,0,Caffe2,1,3
1179,yangyanzhan,0,0,1,3,15,Caffe2,1,5
1180,enosair,0,1,10,4,9,Caffe2,24,5
1181,yinghai,0,0,2,14,5,Caffe2,23,7
1182,harouwu,0,0,13,29,11,Caffe2,61,5
1183,boryiingsu,0,0,0,2,0,Caffe2,19,4
1184,BIT-silence,0,0,34,12,21,Caffe2,19,5
1185,volkhin,1,1,38,22,67,Caffe2,18,9
1186,slayton58,0,0,0,6,11,Caffe2,91,5
1187,jspark1105,0,0,0,14,23,Caffe2,16,5
1188,heslami,0,0,0,4,0,Caffe2,14,3
1189,pooyadavoodi,0,1,3,15,5,Caffe2,14,4
1190,wutao27,0,0,1,11,4,Caffe2,13,6
1191,kuttas,0,0,0,2,1,Caffe2,12,7
1192,andrewwdye,0,0,0,3,4,Caffe2,12,5
1193,yayitsamyzhang,0,0,0,6,0,Caffe2,3,4
1194,jackielxu,0,0,10,21,8,Caffe2,11,4
1195,prigoyal,1,1,25,9,131,Caffe2,11,3
1196,lukeyeager,0,11,111,49,249,Caffe2,89,7
1197,glogowski-wojciech,0,1,0,4,0,Caffe2,11,4
1198,jeffdonahue,1,17,1,14,315,Caffe2,10,7
1199,kmatzen,0,7,1,3,44,Caffe2,10,9
1200,wesolwsk,0,0,0,0,2,Caffe2,10,4
1201,romain-intel,0,0,0,5,3,Caffe2,10,6
1202,tomdz,0,5,30,58,64,Caffe2,10,9
1203,martinraison,1,3,1,22,52,Caffe2,9,6
1204,danzimm,1,12,20,59,96,Caffe2,3,9
1205,dzhulgakov,3,0,0,7,83,Caffe2,85,2
1206,goldsborough,0,146,159,71,395,Caffe2,9,4
1207,ezyang,3,36,2,141,676,Caffe2,9,10
1208,ffjiang,0,0,5,10,9,Caffe2,8,5
1209,meyering,0,0,0,3,36,Caffe2,8,7
1210,jonmorton,0,0,1,6,3,Caffe2,8,2
1211,idning,0,4,46,65,286,Caffe2,8,6
1212,zem7,0,0,0,1,0,Caffe2,8,1
1213,salexspb,0,0,0,3,6,Caffe2,80,2
1214,zdevito,0,3,0,17,146,Caffe2,8,8
1215,hoangmit,0,0,0,2,2,Caffe2,3,6
1216,ezineo,0,0,6,22,3,Caffe2,8,4
1217,anderspapitto,2,9,5,32,24,Caffe2,8,6
1218,dpacgopinath,0,0,5,5,9,Caffe2,7,6
1219,gsethi523,2,0,0,1,12,Caffe2,7,4
1220,willyd,0,4,6,80,68,Caffe2,7,7
1221,bddppq,3,3,0,25,41,Caffe2,69,4
1222,dutran,0,0,0,1,78,Caffe2,6,6
1223,JohnRambo,0,1,0,10,0,Caffe2,6,7
1224,kevinwilfong,0,0,0,5,1,Caffe2,6,5
1225,kingohm,0,0,0,0,0,Caffe2,6,3
1226,leemgs,0,0,4,49,8,Caffe2,3,9
1227,ygdx,0,0,0,4,0,Caffe2,6,3
1228,kittipatv,1,0,0,6,3,Caffe2,68,4
1229,Wakeupbuddy,0,1,78,24,18,Caffe2,6,6
1230,haychris,0,0,2,27,9,Caffe2,5,5
1231,davinwang,0,0,0,7,4,Caffe2,5,5
1232,freedomtan,0,4,5,39,21,Caffe2,5,5
1233,manojkris,0,0,0,1,0,Caffe2,5,0
1234,onnxbot,0,0,0,1,2,Caffe2,59,1
1235,xianxl,0,0,0,0,0,Caffe2,5,0
1236,wickedfoo,0,0,0,5,40,Caffe2,3,6
1237,jspisak,0,0,1,10,3,Caffe2,3,3
1238,csummersea,0,0,0,0,0,Caffe2,3,5
1239,jamesr66a,1,8,32,47,37,Caffe2,58,5
1240,mraway,0,0,0,5,0,Caffe2,3,6
1241,hgaiser,1,24,1,25,25,Caffe2,3,7
1242,williford,1,3,0,33,11,Caffe2,3,7
1243,jmp84,0,0,0,11,3,Caffe2,3,7
1244,dzyong,0,0,2,2,0,Caffe2,3,4
1245,andrewjcg,0,2,0,4,4,Caffe2,2,7
1246,wat3rBro,0,0,0,4,0,Caffe2,5,3
